City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Omboue,GA,78.01,Clouds,-1.5746,9.2618,Hotel Olako
154,Candolim,IN,78.69,Clouds,15.5181,73.7626,Resort Terra Paraiso
155,Uhlove,UA,63.01,Clouds,44.8215,33.6045,Tavryda
157,Gat,IL,75.88,Clouds,31.61,34.7642,OlusHome
158,Mareeba,AU,70.52,Clouds,-17.0,145.4333,Trinity Plains Tourist Park
159,Waspan,NI,79.39,Clouds,14.7419,-83.9717,Hostal casa de la rose
161,Axim,GH,79.32,Clouds,4.8699,-2.2405,Axim Beach Resort And Spa
162,Raga,SS,71.46,Rain,8.4596,25.678,
163,Iquique,CL,62.64,Clear,-20.2208,-70.1431,Backpacker`s Hostel Iquique
167,Lorengau,PG,80.26,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
168,Bandarbeyla,SO,78.1,Clear,9.4942,50.8122,JABIR HOTEL
170,Lingao,CN,77.74,Clouds,19.9103,109.6859,Lingao Ditai Inn
171,Lakatoro,VU,77.72,Clouds,-16.0999,167.4164,Lakatoro Palm Lodge
173,Ponta Delgada,PT,76.5,Clouds,37.7333,-25.6667,Vila Nova Hotel
175,Vao,NC,72.77,Clouds,-22.6667,167.4833,Hotel Kou-Bugny
176,Masunga,BW,79.09,Clear,-20.6246,27.4488,
178,Bosobolo,CD,72.81,Clouds,4.1833,19.9,
180,Riyadh,SA,89.74,Clear,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
181,Barabai,ID,74.28,Clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
182,Kankan,GN,78.19,Rain,10.3854,-9.3057,Hotel Bate
183,Ambulu,ID,76.14,Rain,-8.345,113.6058,Hotel Ambulu Jember
184,Hajiganj,BD,79.63,Clouds,23.2511,90.8592,Hotel Kohinoor
186,Copiapo,CL,60.49,Clouds,-27.3667,-70.3333,Antay Casino Hotel
188,Naze,JP,76.12,Clouds,28.3667,129.4833,Shishime Hotel
190,Saldanha,ZA,61.52,Clouds,-33.0117,17.9442,Blue Bay Lodge
192,Labuhan,ID,79.79,Clouds,-6.8844,112.2051,DoubleFAG
193,Kununurra,AU,78.78,Clouds,-15.7667,128.7333,Hotel Kununurra
196,Calama,CL,73.89,Clear,-22.4667,-68.9333,Park Hotel Calama
197,Pemangkat,ID,78.71,Clouds,1.1667,108.9667,Hotel Duyung Permai 2
199,Matamoros,MX,71.71,Clouds,25.5333,-103.25,Quinta Belem
207,Port Macquarie,AU,66.09,Rain,-31.4333,152.9167,Rydges Port Macquarie
208,Mill Valley,US,75.92,Clouds,37.906,-122.545,Best Western Corte Madera Inn
209,Benguela,AO,75.76,Clouds,-12.5763,13.4055,Hotel Praia Morena
210,Male,MV,82.35,Clouds,4.1748,73.5089,Hotel Octave Maldives
211,Alofi,NU,75.09,Clouds,-19.0595,-169.9187,Taloa Heights
214,Banjar,ID,77.31,Rain,-8.19,114.9675,The Hamsa Resort
216,San Juan,AR,60.84,Clear,-31.5375,-68.5364,Hotel Provincial
221,Cidreira,BR,72.82,Clear,-30.1811,-50.2056,Hotel Castelo
223,Vanimo,PG,78.58,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
224,Ballina,AU,65.01,Rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
226,Varkkallai,IN,80.38,Clouds,8.7341,76.7067,Hindustan Beach Retreat
227,Bathsheba,BB,88.41,Clouds,13.2167,-59.5167,Atlantis Hotel
230,Harper,LR,78.98,Rain,4.375,-7.7169,Screensaver
231,East London,ZA,68.94,Clear,-33.0153,27.9116,Tu Casa
232,Srandakan,ID,76.66,Clouds,-7.9386,110.2506,Puri Brata
233,Padang,ID,77.68,Clouds,-0.9492,100.3543,Mercure Padang
234,Bengkulu,ID,76.3,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
236,Meulaboh,ID,77.52,Rain,4.1363,96.1285,Kost Pria
238,Nalut,LY,79.02,Clouds,30.3333,10.85,
242,Puerto Rico,AR,79.25,Clear,-26.796,-55.024,Hotel Cabañas del Prado
