City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Bandarbeyla,SO,9.4942,50.8122,78.1,82,4,18.99,Clear
169,Nelson Bay,AU,-32.7167,152.15,59.09,96,100,18.01,Rain
170,Lingao,CN,19.9103,109.6859,77.74,89,97,9.55,Clouds
171,Lakatoro,VU,-16.0999,167.4164,77.72,83,16,8.79,Clouds
172,Luderitz,NA,-26.6481,15.1594,62.69,77,7,12.77,Clear
173,Ponta Delgada,PT,37.7333,-25.6667,76.5,88,40,5.75,Clouds
174,Mar Del Plata,AR,-38.0023,-57.5575,58.08,61,75,20.71,Clouds
175,Vao,NC,-22.6667,167.4833,72.77,80,22,21.34,Clouds
176,Masunga,BW,-20.6246,27.4488,79.09,24,0,17.05,Clear
177,Diamantino,BR,-14.4086,-56.4461,95.72,33,33,7.16,Clouds
178,Bosobolo,CD,4.1833,19.9,72.81,94,76,1.1,Clouds
179,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,40,20,23.02,Clouds
180,Riyadh,SA,24.6877,46.7219,89.74,9,0,10.0,Clear
181,Barabai,ID,-2.5833,115.3833,74.28,98,99,0.81,Clouds
182,Kankan,GN,10.3854,-9.3057,78.19,85,86,4.7,Rain
183,Ambulu,ID,-8.345,113.6058,76.14,93,100,2.39,Rain
184,Hajiganj,BD,23.2511,90.8592,79.63,84,44,4.94,Clouds
185,Dalvik,IS,65.9702,-18.5286,35.53,86,99,5.14,Clouds
186,Copiapo,CL,-27.3667,-70.3333,60.49,30,65,8.37,Clouds
187,Klaksvik,FO,62.2266,-6.589,49.12,90,100,27.54,Rain
188,Naze,JP,28.3667,129.4833,76.12,79,73,8.86,Clouds
189,Kochevo,RU,59.5994,54.3125,42.28,91,84,7.76,Clouds
190,Saldanha,ZA,-33.0117,17.9442,61.52,83,26,24.34,Clouds
191,Esil,KZ,51.9556,66.4042,47.52,77,100,17.9,Rain
192,Labuhan,ID,-6.8844,112.2051,79.79,81,100,6.73,Clouds
193,Kununurra,AU,-15.7667,128.7333,78.78,78,45,3.44,Clouds
194,Coihueco,CL,-36.6167,-71.8333,56.14,51,0,16.11,Clear
195,La Ronge,CA,55.1001,-105.2842,59.22,54,20,9.22,Clouds
196,Calama,CL,-22.4667,-68.9333,73.89,4,0,18.41,Clear
197,Pemangkat,ID,1.1667,108.9667,78.71,80,100,5.77,Clouds
198,Mednogorsk,RU,51.4128,57.595,44.6,82,19,6.93,Clouds
199,Matamoros,MX,25.5333,-103.25,71.71,61,40,0.0,Clouds
200,Den Helder,NL,52.9599,4.7593,57.18,69,50,13.0,Clouds
201,Broken Hill,AU,-31.95,141.4333,48.78,61,0,11.92,Clear
202,Ziro,IN,27.6333,93.8333,55.09,97,72,0.65,Clouds
203,Leh,IN,34.1667,77.5833,46.87,29,0,3.69,Clear
204,Valleyview,CA,55.0667,-117.2859,50.04,76,42,6.91,Clouds
205,Wakuya,JP,38.5333,141.1333,53.2,87,71,4.76,Clouds
206,Hofn,IS,64.2539,-15.2082,40.87,90,100,6.26,Clouds
207,Port Macquarie,AU,-31.4333,152.9167,66.09,94,100,11.5,Rain
208,Mill Valley,US,37.906,-122.545,75.92,85,35,3.0,Clouds
209,Benguela,AO,-12.5763,13.4055,75.76,77,35,5.57,Clouds
210,Male,MV,4.1748,73.5089,82.35,78,75,13.8,Clouds
211,Alofi,NU,-19.0595,-169.9187,75.09,83,100,17.27,Clouds
212,Roshchino,RU,60.2519,29.6085,51.96,79,100,16.08,Rain
213,Clyde River,CA,70.4692,-68.5914,21.43,79,75,8.05,Clouds
214,Banjar,ID,-8.19,114.9675,77.31,92,89,5.46,Rain
215,Mehamn,NO,71.0357,27.8492,42.75,93,100,6.91,Clouds
216,San Juan,AR,-31.5375,-68.5364,60.84,19,0,24.85,Clear
217,Upernavik,GL,72.7868,-56.1549,23.29,92,100,9.6,Snow
218,Abay,KZ,49.6311,72.8539,48.58,24,5,14.2,Clear
219,Jiangyou,CN,31.7667,104.7167,59.27,86,100,1.12,Clouds
220,Nianzishan,CN,47.5167,122.8833,36.97,59,86,11.83,Clouds
221,Cidreira,BR,-30.1811,-50.2056,72.82,54,1,7.25,Clear
222,Porto Nacional,BR,-10.7081,-48.4172,93.2,20,33,1.81,Clouds
223,Vanimo,PG,-2.6741,141.3028,78.58,89,100,5.03,Clouds
224,Ballina,AU,-28.8667,153.5667,65.01,99,100,14.38,Rain
225,Ola,RU,59.5833,151.2833,24.91,82,13,6.38,Clouds
226,Varkkallai,IN,8.7341,76.7067,80.38,88,17,7.7,Clouds
227,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,18.41,Clouds
228,Mabaruma,GY,8.2,-59.7833,91.76,50,54,6.15,Clouds
229,Sobolevo,RU,54.4299,31.8996,49.17,75,88,11.68,Clouds
230,Harper,LR,4.375,-7.7169,78.98,83,61,8.39,Rain
231,East London,ZA,-33.0153,27.9116,68.94,88,0,4.61,Clear
232,Srandakan,ID,-7.9386,110.2506,76.66,91,100,7.09,Clouds
